==> past_data/changed_flights_2026-06-01.csv <==
SV 985_2026-06-15,SV 985,SVA,2026-06-15,02:05,RUH,Cancelled,,departure,
HJ 220_2026-06-15,HJ 220,TMN,2026-06-15,05:35,SYD,Cancelled,,departure,
SV 963_2026-06-15,SV 963,SVA,2026-06-15,07:30,RUH,Cancelled,,departure,
QR 8417_2026-06-15,QR 8417,QTR,2026-06-15,08:45,DOH,Cancelled,,departure,
KD 617_2026-06-15,KD 617,WGN,2026-06-15,08:55,"ICN, MIA",Cancelled,,departure,
ET 3035_2026-06-15,ET 3035,ETH,2026-06-15,09:30,ADD,Cancelled,,departure,
RH 6651_2026-06-15,RH 6651,HKC,2026-06-15,10:20,DAC,Cancelled,,departure,
EK 9849_2026-06-15,EK 9849,UAE,2026-06-15,10:40,DXB,Cancelled,,departure,
5X 065_2026-06-15,5X 065,UPS,2026-06-15,13:20,"ANC, SDF",Cancelled,,departure,
HE 1710_2026-06-15,HE 1710,HGO,2026-06-15,14:30,GYD,Cancelled,,departure,
WW 862_2026-06-15,WW 862,KXP,2026-06-15,14:45,KUL,Cancelled,,departure,
5X 001_2026-06-15,5X 001,UPS,2026-06-15,15:40,"CGN, PHL",Cancelled,,departure,
EK 9851_2026-06-15,EK 9851,UAE,2026-06-15,15:45,DWC,Cancelled,,departure,
SV 975_2026-06-15,SV 975,SVA,2026-06-15,17:30,JED,Cancelled,,departure,
