flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
NH 813_2026-09-08,NH 813,ANA,2026-09-08,05:15,HND,At gate 04:51,,arrival,2026-09-08T11:45:35+08:00
AC 007_2026-09-08,AC 007,ACA,2026-09-08,05:15,YVR,At gate 06:18,,arrival,2026-09-08T11:45:35+08:00
TG 5867_2026-09-08,TG 5867,THA,2026-09-08,05:15,YVR,At gate 06:18,,arrival,2026-09-08T11:45:35+08:00
UO 615_2026-09-08,UO 615,HKE,2026-09-08,05:25,ICN,At gate 04:46,,arrival,2026-09-08T11:45:35+08:00
CX 5615_2026-09-08,CX 5615,CPA,2026-09-08,05:25,ICN,At gate 04:46,,arrival,2026-09-08T11:45:35+08:00
CX 843_2026-09-08,CX 843,CPA,2026-09-08,05:30,JFK,At gate 05:02,,arrival,2026-09-08T11:45:35+08:00
OM 5843_2026-09-08,OM 5843,MGL,2026-09-08,05:30,JFK,At gate 05:02,,arrival,2026-09-08T11:45:35+08:00
MH 9211_2026-09-08,MH 9211,MAS,2026-09-08,05:30,JFK,At gate 05:02,,arrival,2026-09-08T11:45:35+08:00
CX 865_2026-09-08,CX 865,CPA,2026-09-08,05:35,YVR,At gate 05:32,,arrival,2026-09-08T11:45:35+08:00
UA 820_2026-09-08,UA 820,UAL,2026-09-08,05:40,LAX,At gate 05:07,,arrival,2026-09-08T11:45:35+08:00
GA 860_2026-09-08,GA 860,GIA,2026-09-08,05:45,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
HX 1960_2026-09-08,HX 1960,CRK,2026-09-08,05:45,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 883_2026-09-08,CX 883,CPA,2026-09-08,05:45,LAX,At gate 05:22,,arrival,2026-09-08T11:45:35+08:00
MH 9193_2026-09-08,MH 9193,MAS,2026-09-08,05:45,LAX,At gate 05:22,,arrival,2026-09-08T11:45:35+08:00
LA 5648_2026-09-08,LA 5648,LAN,2026-09-08,05:45,LAX,At gate 05:22,,arrival,2026-09-08T11:45:35+08:00
OM 5883_2026-09-08,OM 5883,MGL,2026-09-08,05:45,LAX,At gate 05:22,,arrival,2026-09-08T11:45:35+08:00
AA 8936_2026-09-08,AA 8936,AAL,2026-09-08,05:45,LAX,At gate 05:22,,arrival,2026-09-08T11:45:35+08:00
CX 714_2026-09-08,CX 714,CPA,2026-09-08,05:50,SIN,At gate 05:40,,arrival,2026-09-08T11:45:35+08:00
QR 3455_2026-09-08,QR 3455,QTR,2026-09-08,05:50,SIN,At gate 05:40,,arrival,2026-09-08T11:45:35+08:00
AY 5856_2026-09-08,AY 5856,FIN,2026-09-08,05:50,SIN,At gate 05:40,,arrival,2026-09-08T11:45:35+08:00
